date,lat,lon,z,Silicate,directory,filename
19311013,49.2667,-123.783,-2.0,24.00000000000000000000,ocldb1501177110.21693.OSD,wod_000049651O.nc
19311013,49.2667,-123.783,-4.0,23.00000000000000000000,ocldb1501177110.21693.OSD,wod_000049651O.nc
19311013,49.2667,-123.783,-6.0,24.00000000000000000000,ocldb1501177110.21693.OSD,wod_000049651O.nc
19311013,49.2667,-123.783,-10.0,24.00000000000000000000,ocldb1501177110.21693.OSD,wod_000049651O.nc
19311013,49.2667,-123.783,-20.0,27.00000000000000000000,ocldb1501177110.21693.OSD,wod_000049651O.nc
19311013,49.2667,-123.783,-30.0,28.00000000000000000000,ocldb1501177110.21693.OSD,wod_000049651O.nc
19311013,49.2667,-123.783,-50.0,29.00000000000000000000,ocldb1501177110.21693.OSD,wod_000049651O.nc
19311013,49.2667,-123.783,-100.0,29.00000000000000000000,ocldb1501177110.21693.OSD,wod_000049651O.nc
19311013,49.2667,-123.783,-200.0,31.00000000000000000000,ocldb1501177110.21693.OSD,wod_000049651O.nc
19311013,49.2667,-123.783,-405.0,8.00000000000000000000,ocldb1501177110.21693.OSD,wod_000049651O.nc
