date,lat,lon,z,Phosphate,directory,filename
19310620,49.2667,-123.783,-10.0,0.57999998331069946289,ocldb1501177032.9614.OSD,wod_000048261O.nc
19310620,49.2667,-123.783,-20.0,0.41999998688697814941,ocldb1501177032.9614.OSD,wod_000048261O.nc
19310620,49.2667,-123.783,-30.0,0.55000001192092895508,ocldb1501177032.9614.OSD,wod_000048261O.nc
19310620,49.2667,-123.783,-50.0,0.47999998927116394043,ocldb1501177032.9614.OSD,wod_000048261O.nc
19310620,49.2667,-123.783,-100.0,0.49000000953674316406,ocldb1501177032.9614.OSD,wod_000048261O.nc
19310620,49.2667,-123.783,-200.0,0.52999997138977050781,ocldb1501177032.9614.OSD,wod_000048261O.nc
19310620,49.2667,-123.783,-400.0,0.43999999761581420898,ocldb1501177032.9614.OSD,wod_000048261O.nc
19310715,49.2667,-123.783,-0.0,0.25999999046325683594,ocldb1501177032.9614.OSD,wod_000048581O.nc
19310715,49.2667,-123.783,-1.0,0.28000000119209289551,ocldb1501177032.9614.OSD,wod_000048581O.nc
19310715,49.2667,-123.783,-2.0,0.41999998688697814941,ocldb1501177032.9614.OSD,wod_000048581O.nc
19310715,49.2667,-123.783,-4.0,0.64999997615814208984,ocldb1501177032.9614.OSD,wod_000048581O.nc
19310715,49.2667,-123.783,-6.0,0.83999997377395629883,ocldb1501177032.9614.OSD,wod_000048581O.nc
19310715,49.2667,-123.783,-10.0,2.05999994277954101562,ocldb1501177032.9614.OSD,wod_000048581O.nc
19310715,49.2667,-123.783,-20.0,2.09999990463256835938,ocldb1501177032.9614.OSD,wod_000048581O.nc
19310715,49.2667,-123.783,-30.0,2.41000008583068847656,ocldb1501177032.9614.OSD,wod_000048581O.nc
19310715,49.2667,-123.783,-50.0,2.54999995231628417969,ocldb1501177032.9614.OSD,wod_000048581O.nc
19310715,49.2667,-123.783,-100.0,2.79999995231628417969,ocldb1501177032.9614.OSD,wod_000048581O.nc
19310715,49.2667,-123.783,-200.0,2.80999994277954101562,ocldb1501177032.9614.OSD,wod_000048581O.nc
19310715,49.2667,-123.783,-400.0,2.55999994277954101562,ocldb1501177032.9614.OSD,wod_000048581O.nc
